Term,Category,Reasoning,NLD
Hydrogen Sulfide,Earth Fluid,"The NLD defines the term as a gas ('gás ácido') generated by a geochemical process, which fits the definition of Earth Fluid as a natural amount of fluid matter, including gas.","O Sulfeto de Hidrogênio é um gás ácido que, no contexto do Pré-Sal, é gerado predominantemente pela Redução Termoquímica de Sulfatos (TSR). Este processo geoquímico de alta temperatura envolve a reação entre hidrocarbonetos e os minerais de sulfato, como a anidrita, presentes na seção evaporítica. Sua presença como contaminante tóxico e corrosivo nas acumulações de hidrocarbonetos impacta diretamente a segurança operacional, a seleção de materiais e a viabilidade econômica dos projetos."
Formation Water,Earth Fluid,"The NLD defines the term as water that naturally occurs in the pore spaces of a geological formation, which directly aligns with the definition of Earth Fluid.","Água de formação é a água que ocorre naturalmente nos espaços porosos de uma formação geológica. No contexto do Pré-Sal brasileiro, esta água é tipicamente uma salmoura hipersalina, com altas concentrações de sais dissolvidos e gases como o CO₂, que coexiste com os hidrocarbonetos no reservatório. Ela representa um componente fundamental do sistema petrolífero, influenciando as propriedades dos fluidos e as interações rocha-fluido."
Brine,Earth Fluid,"The NLD defines brine as a hypersaline aqueous solution and a connate fluid that saturates reservoir rocks, which directly aligns with the definition of an Earth Fluid.","Salmoura é uma solução aquosa hipersalina que satura o espaço poroso das rochas reservatório, representando o fluido conato do sistema petrolífero. No contexto do Pré-Sal brasileiro, sua composição é tipicamente rica em cloretos de cálcio e magnésio, decorrente da interação com as sequências carbonáticas e evaporíticas adjacentes. Esta composição influencia diretamente os processos diagenéticos e as propriedades do reservatório."
Connate Water,Earth Fluid,"The NLD defines the term as interstitial water trapped in the pores of a rock, which is a type of fluid earth material.","Água conata é uma água intersticial que foi aprisionada nos poros de uma rocha sedimentar durante sua deposição original. Sua composição química reflete as condições do ambiente deposicional, que no contexto dos carbonatos do Pré-Sal brasileiro corresponde a um sistema lacustre de salinidade elevada. Esta água ocupa o espaço poroso antes da migração de hidrocarbonetos e sua porção irredutível, mantida por forças capilares, controla propriedades petrofísicas fundamentais do reservatório."
Meteoric Water,Earth Fluid,"The NLD defines the term as subsurface water of atmospheric origin, which is a type of Earth Material representing a volume of fluid.","Água meteórica é uma água de subsuperfície, de origem atmosférica, que se infiltra nos sedimentos durante períodos de exposição subaérea. No contexto do Pré-Sal brasileiro, sua percolação através dos carbonatos lacustres é o principal agente diagenético responsável pela dissolução e criação de porosidade secundária. Este processo, conhecido como diagênese meteórica, é fundamental para o desenvolvimento da excepcional qualidade dos reservatórios da sequência deposicional sag."
Oil-Water Contact,Geological Boundary,"The NLD defines the term as an isobaric surface that marks the boundary separating the oil-saturated zone from the water-saturated zone, which is consistent with a physical discontinuity.","O Contato Óleo-Água é uma superfície isobárica em um reservatório que marca o limite inferior de uma acumulação de petróleo, separando a zona predominantemente saturada por óleo da zona subjacente saturada por água devido à segregação gravitacional. Este limite pode se manifestar como uma interface nítida ou, mais comumente em reservatórios carbonáticos, como uma zona de transição capilar onde a saturação de água aumenta gradualmente com a profundidade. A sua definição precisa é fundamental para o cálculo do volume de hidrocarbonetos in-place."
Gas-Oil Contact,Geological Contact,"The NLD defines the term as a surface or interface delimiting the transition between two adjacent fluid bodies (gas and oil), which is a type of relational quality between two geological entities.","Contato Gás-Óleo é a superfície, geralmente sub-horizontal e isopotencial, que delimita a transição entre a capa de gás livre e a coluna de óleo dentro de uma mesma acumulação em um reservatório. Esta interface é controlada pela segregação gravitacional dos fluidos, sendo sua correta identificação crítica para a estimativa de volumes e para a estratégia de desenvolvimento dos campos do Pré-Sal."
Gas-Water Contact,Geological Boundary,"The NLD defines the term as a hydrostatic equilibrium surface ('superfície') that delimits a gas accumulation from an aquifer, which fits the definition of a Geological Boundary as a physical discontinuity.","O Contato Gás-Água é uma superfície de equilíbrio hidrostático em um reservatório que delimita a base de uma acumulação de gás, separando-a do aquífero subjacente. Sua posição é governada pelo balanço entre as forças de empuxo da coluna de gás e as pressões capilares do sistema poroso da rocha. Esta interface raramente é abrupta, constituindo uma zona de transição com saturação de água variável."
Fluid Property,quality,"The NLD defines it as a physicochemical parameter like viscosity or density, which is an inherent property that depends on a bearer (the fluid), fitting the BFO definition of a quality.","Propriedade de Fluido é um parâmetro físico-químico que quantifica o comportamento de fase e as condições de escoamento dos hidrocarbonetos e da água de formação sob as condições de pressão e temperatura do reservatório. Propriedades como viscosidade, densidade, fator volume de formação e pressão de saturação são essenciais para a modelagem do fluxo e o planejamento da produção em sistemas petrolíferos como os do Pré-Sal. A correta caracterização dessas propriedades é crítica devido à presença de CO₂ e às variações composicionais do petróleo ao longo das acumulações."
Oil Viscosity,quality,"The NLD defines it as a physical property that quantifies the internal resistance of petroleum to flow, which is a quality that inheres in the oil.","Viscosidade do Óleo é uma propriedade física que quantifica a resistência interna do petróleo ao escoamento sob condições de pressão e temperatura de reservatório. Essa propriedade é um parâmetro crítico para a engenharia de produção e reservatórios, pois governa a mobilidade do hidrocarboneto nos meios porosos e a eficiência dos métodos de recuperação. No contexto do Pré-Sal brasileiro, a viscosidade é tipicamente baixa devido à natureza leve dos óleos, mas sua caracterização precisa é complexa e fundamental devido às altas razões gás-óleo e concentrações variáveis de CO₂."
