Term,NLD
Sequence Stratigraphy,"Estratigrafia de Sequências é uma metodologia de análise estratigráfica que interpreta o registro sedimentar como uma sucessão de pacotes geneticamente relacionados, denominados sequências deposicionais. Estas sequências são controladas por variações cíclicas no espaço de acomodação, geradas pela interação entre a flutuação do nível de base e a subsidência. No contexto do Pré-Sal brasileiro, esta abordagem é fundamental para prever a distribuição e a qualidade de reservatórios carbonáticos lacustres, cujo nível de base é controlado principalmente por fatores tectônicos e climáticos."
Highstand Systems Tract,"O Trato de Sistema de Mar Alto é um trato de sistemas deposicionais que se acumula durante a fase tardia de subida e o período de estabilidade do nível de base, sendo caracterizado por um padrão de empilhamento predominantemente progradacional. No contexto do Pré-Sal brasileiro, este trato frequentemente compreende os reservatórios carbonáticos de melhor qualidade, como coquinas e microbialitos, que se desenvolvem com a estabilização do nível do lago. Ele é limitado na base pela superfície de inundação máxima e no topo pela discordância subsequente que marca o início da queda do nível de base."
Lowstand Systems Tract,"Trato de Sistemas de Nível Baixo é um conjunto de sistemas deposicionais que se acumula durante a queda e o subsequente estágio de baixo nível de base lacustre. No contexto do Pré-Sal, é tipicamente caracterizado pela exposição subaérea das plataformas carbonáticas e pela progradação de corpos carbonáticos clásticos para as porções mais profundas da bacia. Estes corpos progradantes, como os 'wedges' de coquinas e brechas, frequentemente constituem importantes reservatórios de hidrocarbonetos."
Transgressive Systems Tract,"Trato de Sistemas Transgressivo é o conjunto de sistemas deposicionais que se acumula durante a elevação do nível de base, desde a primeira superfície de inundação transgressiva até a superfície de inundação máxima. Seu padrão de empilhamento é retrogradacional, refletindo a migração da linha de costa em direção ao continente. No Pré-Sal, este trato frequentemente compreende depósitos lacustres de águas mais profundas, com potencial para rochas geradoras e selantes sobre os reservatórios carbonáticos subjacentes."
Maximum Flooding Surface,"Uma Superfície de Inundação Máxima é uma superfície de significado cronoestratigráfico que representa o ápice da transgressão marinha dentro de uma sequência deposicional, separando o Trato de Sistema Transgressivo (TST) do Trato de Sistema de Mar Alto (TSM) sobrejacente. Esta superfície corresponde a um período de mínima taxa de sedimentação, frequentemente associado ao desenvolvimento de seções condensadas ricas em matéria orgânica com potencial para rochas geradoras. No contexto do Pré-Sal, constitui um marcador sísmico e de perfis de poço de primeira ordem, fundamental para a correlação regional e para a definição da arquitetura dos reservatórios carbonáticos."
Sequence Boundary,"Um Limite de Sequência é uma superfície estratigráfica que representa uma discordância, ou sua conformidade correlativa, formada durante uma queda do nível de base relativo. Esta superfície é gerada pela exposição subaérea da plataforma carbonática, resultando em erosão, não deposição e intenso retrabalhamento diagenético. No contexto do Pré-Sal, estes limites frequentemente controlam a qualidade do reservatório através do desenvolvimento de sistemas cársticos."
Parasequence,"Uma parasequência é uma sucessão relativamente concordante de camadas geneticamente relacionadas, delimitada por superfícies de inundação lacustre ou suas conformidades correlativas, que representa um ciclo de sedimentação de rasamento ascendente. No contexto do Pré-Sal brasileiro, ela tipicamente registra a transição de fácies de lago mais profundo em sua base para fácies de lago mais raso e de maior energia no topo. Essas fácies de topo frequentemente constituem os principais intervalos de reservatório, como coquinas e rochas carbonáticas microbiais ou esferulíticas."
Stacking Pattern,"Padrão de Empilhamento é o arranjo geométrico vertical de ciclos ou tratos de sistemas deposicionais que resulta da interação entre a variação do espaço de acomodação e o aporte de sedimentos. No contexto dos carbonatos lacustres do Pré-Sal, este arranjo é controlado principalmente por flutuações do nível do lago e define a arquitetura e a distribuição de fácies reservatório, como microbialitos e esferulitos. Os padrões resultantes podem ser progradantes, agradantes ou retrogradantes, impactando diretamente a conectividade e a heterogeneidade dos reservatórios."
Progradation,"Progradação é um processo deposicional que se caracteriza pelo avanço de um sistema sedimentar em direção ao interior de uma bacia. Este processo ocorre quando a taxa de aporte de sedimento supera a taxa de criação de espaço de acomodação, resultando em um padrão de empilhamento com geometrias sigmoides ou oblíquas. No contexto do Pré-Sal, a progradação é fundamental para a construção lateral das plataformas carbonáticas lacustres e para a distribuição de suas melhores fácies reservatório."
Retrogradation,"Retrogradação é um padrão de empilhamento estratigráfico que descreve a migração progressiva de sistemas deposicionais carbonáticos em direção ao continente. Este padrão é gerado quando a taxa de criação de espaço de acomodação, controlada pela subida do nível de base, excede a taxa de produção de carbonatos. O resultado é uma geometria de recuo (*backstepping*) dos corpos de reservatório, como os bancos de coquinas e microbialitos do Pré-Sal, que pode impactar sua conectividade e distribuição espacial."
Aggradation,"Agradação é um padrão de empilhamento estratigráfico que ocorre quando a taxa de acumulação de sedimento é aproximadamente equivalente à taxa de criação de espaço de acomodação, resultando em uma superposição predominantemente vertical de fácies ou estratos. No contexto dos reservatórios carbonáticos do Pré-Sal, este padrão é fundamental para a construção de corpos de reservatório espessos e com alta conectividade vertical. Este padrão contrasta com a progradacão, que representa o avanço do sistema deposicional, e a retrogradação, que representa o seu recuo."
Onlap,"Onlap é uma terminação estratigráfica na qual estratos sucessivamente mais jovens terminam contra uma superfície subjacente de maior inclinação, cobrindo uma área progressivamente maior. Esta feição indica uma transgressão ou subida do nível de base e é crucial na interpretação sísmica do Pré-Sal para delimitar a geometria e a expansão dos reservatórios carbonáticos sobre as estruturas do embasamento."
Downlap,"Downlap é uma terminação estratal na qual estratos ou refletores sísmicos inicialmente inclinados terminam em direção ao mergulho contra uma superfície inferior de menor inclinação. Este padrão indica progradação e a construção de um sistema deposicional para o interior da bacia. A superfície de downlap representa a base de uma sequência deposicional ou de um corpo sedimentar progradante, como deltas lacustres ou bancos carbonáticos do Pré-Sal."
Toplap,"Toplap é uma terminação estratigráfica na qual estratos mais jovens e inicialmente inclinados terminam contra uma superfície superior devido à não deposição. Esta geometria indica a progradação de um sistema deposicional, onde o topo dos estratos representa o limite máximo de acresção vertical, frequentemente controlado pelo nível de base lacustre. No contexto do Pré-Sal, o toplap é uma feição sísmica chave para delinear a geometria progradante de corpos carbonáticos, como coquinas e microbialitos, que constituem importantes reservatórios."
Truncation,"Truncamento é uma feição geométrica que representa a terminação de estratos ou refletores sísmicos contra uma superfície discordante sobrejacente, geralmente erosiva. Esta feição indica a remoção de parte da seção geológica e é fundamental na definição de trapas estratigráficas. No Pré-Sal brasileiro, o truncamento dos reservatórios carbonáticos da fase rifte pela discordância pré-Aptiana é um elemento chave para a formação de acumulações de hidrocarbonetos."
